"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка наличия кнопки сортировки на странице с товарами","575","Проверка наличия кнопки сортировки на странице с товарами","Sauce Demo SmokeTest","Thu Dec 12 16:50:25 GMT 2024","passed","Thu Dec 12 16:50:25 GMT 2024","tests.ProductsTest","Thread#2","tests.ProductsTest","checkSortingButtonPresentsOnThePage"
"Проверка всех валидационных сообщений на странице входа в сервис","0","Проверка всех валидационных сообщений на странице входа в сервис","Sauce Demo SmokeTest","Thu Dec 12 16:49:51 GMT 2024","unknown","Thu Dec 12 16:49:51 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","testAllErrorMessages"
"Проверка заполнения полной информации о клиенте валидными данными","935","Проверка заполнения полной информации о клиенте валидными данными","Sauce Demo SmokeTest","Thu Dec 12 16:49:58 GMT 2024","passed","Thu Dec 12 16:49:59 GMT 2024","tests.CheckoutClientInfoTest","Thread#1","tests.CheckoutClientInfoTest","checkFillClientInfoFieldsWithValidData"
"Проверка добавления нескольких товаров в корзину","2114","Проверка добавления нескольких товаров в корзину","Sauce Demo SmokeTest","Thu Dec 12 16:50:14 GMT 2024","passed","Thu Dec 12 16:50:16 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddManyItemsInCart"
"Проверка входа в систему интернет магазина с позитивными credentials","813","Проверка логина с валидными данными1","Sauce Demo SmokeTest","Thu Dec 12 16:49:53 GMT 2024","passed","Thu Dec 12 16:49:54 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверка удаления нескольких товаров с корзины","1228","Проверка удаления нескольких товаров с корзины","Sauce Demo SmokeTest","Thu Dec 12 16:50:20 GMT 2024","passed","Thu Dec 12 16:50:21 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDeleteManyItemsFromCart"
"Проверка логина с неверным паролем","486","Проверка логина с неверным паролем","Sauce Demo SmokeTest","Thu Dec 12 16:49:56 GMT 2024","passed","Thu Dec 12 16:49:56 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithErrorPassword"
"Проверка расчета общей суммы за все товары в корзине","1152","Проверка расчета общей суммы за все товары в корзине","Sauce Demo SmokeTest","Thu Dec 12 16:50:27 GMT 2024","passed","Thu Dec 12 16:50:28 GMT 2024","tests.CheckoutCartOverviewTest","Thread#2","tests.CheckoutCartOverviewTest","checkTotalAmountForItems"
"Description от Allure","1","Description. для тестРепортов","Sauce Demo SmokeTest","Thu Dec 12 16:49:51 GMT 2024","unknown","Thu Dec 12 16:49:51 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAdd1ItemInCart"
"Проверка заполнения полной информации о клиенте невалидными данными","893","Проверка заполнения полной информации о клиенте невалидными данными","Sauce Demo SmokeTest","Thu Dec 12 16:49:57 GMT 2024","passed","Thu Dec 12 16:49:58 GMT 2024","tests.CheckoutClientInfoTest","Thread#1","tests.CheckoutClientInfoTest","checkFillClientInfoFieldsWithInvalidData"
"Проверка логина с пустым паролем","492","Проверка логина с пустым паролем","Sauce Demo SmokeTest","Thu Dec 12 16:49:54 GMT 2024","passed","Thu Dec 12 16:49:55 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка логина с пустым именем","472","Проверка логина с пустым именем","Sauce Demo SmokeTest","Thu Dec 12 16:49:55 GMT 2024","passed","Thu Dec 12 16:49:56 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка удаления одного товара с корзины","843","Проверка удаления одного товара с корзины","Sauce Demo SmokeTest","Thu Dec 12 16:50:18 GMT 2024","passed","Thu Dec 12 16:50:18 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkDelete1ItemFromCart"
"Проверка количества отображаемых товаров на главной странице","568","Проверка количества отображаемых товаров на главной странице","Sauce Demo SmokeTest","Thu Dec 12 16:50:23 GMT 2024","passed","Thu Dec 12 16:50:23 GMT 2024","tests.ProductsTest","Thread#2","tests.ProductsTest","checkAmountOfProducts"
